name,url,comment,category,last_update,star_count,fork_count,contributors_count,created_at,last_commit,repo_path,repo_status,rating,finml_added_date
Options Risk Measures,https://github.com/wanglouis49/risk_estimation,Efficient financial risk estimation via computer experiment design (regression + variance-reduced sampling).,Derivatives and Hedging,2020-10-06 20:37:02,1.0,2.0,1.0,2016-04-29 03:51:25,2018-01-16 01:24:07,wanglouis49/risk_estimation,inactive,,
Delta Hedging,https://github.com/RobinsonGarcia/delta-hedging,Advanced derivatives.,Derivatives and Hedging,2021-02-27 08:48:27,3.0,2.0,1.0,2018-03-02 23:53:53,2018-07-17 23:32:23,RobinsonGarcia/delta-hedging,inactive,,
Computational Derivatives,https://github.com/chenbowen184/Computational_Finance,Projects focusing on investigating simulations and computational techniques applied in finance.,Derivatives and Hedging,2021-01-12 12:22:31,17.0,12.0,1.0,2018-01-29 05:01:52,2018-08-02 05:56:49,chen-bowen/Computational_Finance,inactive,,
Black Scholes,https://github.com/irajwani/numerical_methods_python/blob/master/black_scholes.ipynb,Options pricing.,Derivatives and Hedging,2020-10-06 20:36:29,1.0,2.0,0.0,2017-12-09 18:50:20,2018-07-09 09:48:36,irajwani/numerical_methods_python,inactive,,
Option Strategies,https://github.com/rstreppa/valuation-OptionStrategies,"Valuation of Vanilla and Exotic option strategies (Butterfly, Risk Reversal etc.) with widget animations.",Derivatives and Hedging,2021-02-27 08:50:16,2.0,3.0,1.0,2018-05-22 18:27:26,2018-05-22 18:30:24,rstreppa/valuation-OptionStrategies,inactive,,
Commodity,https://github.com/felipessalvatore/fin2vec/blob/master/src/Commodity2BR.ipynb,Commodity influence over Brazilian stocks.,Extended Research,,,,,,,felipessalvatore/fin2vec,,,
High Frequency,https://github.com/cswaney/prickle,A Python toolkit for high-frequency trade research.,Extended Research,2021-03-22 02:19:15,24.0,17.0,2.0,2016-07-06 20:32:21,2018-06-09 10:53:51,cswaney/prickle,inactive,,
Bayesian Finance I,https://github.com/AlexIoannides/pymc-stochastic-process/blob/master/bayes_stoch_proc_calib.ipynb,Stochastic Process Calibration using Bayesian Inference & Probabilistic Programs.,Extended Research,2020-11-28 03:02:48,25.0,6.0,0.0,2019-01-04 12:30:41,2019-02-18 09:55:21,AlexIoannides/pymc-stochastic-process,inactive,,
Currency PCA,https://github.com/shanemulqueen/python-finance-pca/blob/master/FX_spots_w_PCA.ipynb,Forex spots PCA.,Extended Research,2020-10-26 00:55:20,3.0,1.0,1.0,2019-03-12 21:11:29,2019-03-12 22:09:10,shanemulqueen/python-finance-pca,inactive,,
Liquidity and Momentum,https://github.com/mrefermat/quant_finance,Various factors and portfolio constructions.,Extended Research,2021-03-30 00:09:34,31.0,15.0,1.0,2018-08-11 22:59:53,2019-11-12 04:49:01,mrefermat/quant_finance,active,,
Simulation,https://github.com/chenbowen184/Computational_Finance,Investigating simulations as part of computational finance.,Extended Research,2021-01-12 12:22:31,17.0,12.0,1.0,2018-01-29 05:01:52,2018-08-02 05:56:49,chen-bowen/Computational_Finance,inactive,,
NLP Finance Papers,https://github.com/chenbowen184/Research_Documents_Curation_with_NLP,Curating quantitative finance papers using machine learning.,Extended Research,2021-02-27 06:33:23,8.0,9.0,1.0,2018-10-11 20:32:37,2018-12-24 23:27:55,chen-bowen/Research_Documents_Curation_with_NLP,inactive,,
Deep Portfolio,https://github.com/DLColumbia/DL_forFinance,Deep learning for finance Predict volume of bonds.,Extended Research,2021-01-12 11:48:27,27.0,19.0,2.0,2018-05-08 19:34:17,2018-05-09 15:39:25,DLColumbia/DL_forFinance,inactive,,
Real Estate Property Fraud,https://github.com/aviroop1/Real_Estate_Property_Fraud,Unsupervised fraud detection model that can identify likely candidates of fraud.,Extended Research,,,,,,,aviroop1/Real_Estate_Property_Fraud,,,
Critical Transitions,https://github.com/ryanholbrook/critical-transitions,Detecting critical transitions in financial networks with topological data analysis.,Extended Research,2021-01-30 11:50:22,10.0,3.0,1.0,2019-01-22 10:59:50,2019-03-12 18:35:02,ryanholbrook/critical-transitions,inactive,,
Computational Finance,https://github.com/lnsongxf/Applied_Computational_Economics_and_Finance,Applied Computational Economics and Finance.,Extended Research,2021-03-07 17:47:01,12.0,13.0,1.0,2017-08-27 03:46:33,2017-08-26 04:26:04,lnsongxf/Applied_Computational_Economics_and_Finance,inactive,,
Bayesian Finance,https://github.com/marketneutral/alphatools/blob/master/notebooks/pymc3-minimal.ipynb,Notebook PyMC3 implementation.,Extended Research,2021-04-10 19:50:47,233.0,55.0,1.0,2018-08-28 14:45:00,2020-08-06 22:03:47,marketneutral/alphatools,active,,
Backtests,https://github.com/AlgoTraders/stock-analysis-engine,Trading data and algorithms.,Extended Research,2021-04-12 02:28:59,620.0,165.0,3.0,2018-09-16 20:00:36,2020-09-05 13:01:05,AlgoTraders/stock-analysis-engine,active,,
Corporate Finance,https://github.com/SeanMcOwen/FinanceAndPython.com-CorporateFinance,Basic corporate finance.,Extended Research,2021-01-16 19:01:31,9.0,4.0,1.0,2017-09-09 03:35:24,2017-09-09 23:04:48,SeanMcOwen/FinanceAndPython.com-CorporateFinance,inactive,,
Mathematical Finance,https://github.com/Auquan/Tutorials,Notebooks for math and financial tutorials.,Extended Research,2021-04-08 19:37:16,664.0,425.0,9.0,2017-01-21 11:24:18,2020-08-01 17:03:32,Auquan/Tutorials,active,,
Economic Foundations,https://github.com/SeanMcOwen/FinanceAndPython.com-EconomicFoundations,Basic economic models.,Extended Research,2020-10-06 21:01:59,2.0,3.0,1.0,2017-05-25 02:27:36,2017-06-30 03:53:59,SeanMcOwen/FinanceAndPython.com-EconomicFoundations,inactive,,
Financial Economics,https://github.com/rsvp/fecon235/tree/master/nb,Financial Economics Models.,Extended Research,2021-04-10 17:02:20,713.0,275.0,2.0,2014-11-09 04:49:01,2018-12-03 16:30:28,rsvp/fecon235,inactive,,
Finance Graph Theory,https://github.com/AvijitGhosh82/Finance_Graph_Theory,Modelling Contentedness of Firms in Financial Markets with Heterogeneous Agents.,Extended Research,2021-03-28 02:22:22,17.0,7.0,3.0,2018-08-02 02:48:24,2019-03-16 18:39:38,evijit/Finance_Graph_Theory,inactive,,
Market Crash Prediction,https://github.com/sarachmax/MarketCrashes_Prediction/blob/master/LPPL_Comparasion.ipynb,Predicting market crashes using an LPPL model.,Extended Research,2020-10-06 21:01:42,1.0,3.0,1.0,2019-01-24 13:37:45,2019-02-13 16:48:00,sarachmax/MarketCrashes_Prediction,inactive,,
M&A,https://github.com/atulram/Finance-and-Stocks,Mergers and Acquisitions.,Extended Research,2020-12-21 14:42:43,3.0,3.0,1.0,2019-01-19 18:16:47,2019-02-18 16:57:19,atulram/Finance-and-Stocks,inactive,,
Behavioural Economics,https://github.com/pcmichaud/notebooks,Behavioural Economics and Finance Python Notebooks.,Extended Research,2021-02-03 07:22:40,9.0,4.0,1.0,2018-12-20 00:21:38,2019-03-26 11:51:46,pcmichaud/notebooks,inactive,,
Life-cycle,https://github.com/atulram/Finance-and-Stocks/blob/master/CompanyLifeCycle.ipynb,Company life cycle.,Extended Research,2020-12-21 14:42:43,3.0,3.0,1.0,2019-01-19 18:16:47,2019-02-18 16:57:19,atulram/Finance-and-Stocks,inactive,,
Applied Corporate Finance,https://github.com/chenbowen184/Data_Science_in_Applied_Corporate_Finance,Studies the empirical behaviours in stock market.,Extended Research,2021-02-19 13:40:37,8.0,9.0,1.0,2018-01-29 05:14:52,2018-07-19 06:25:36,chen-bowen/Data_Science_in_Applied_Corporate_Finance,inactive,,
HFT,https://github.com/rorysroes/SGX-Full-OrderBook-Tick-Data-Trading-Strategy,High frequency trading.,Extended Research,2021-04-11 23:36:10,748.0,333.0,1.0,2016-07-21 05:14:14,2017-02-14 16:47:25,rorysroes/SGX-Full-OrderBook-Tick-Data-Trading-Strategy,inactive,,
Factor Analysis,https://github.com/garvit-kudesia91/factor_analysis/blob/master/Factor%20Analysis%20of%20Mutual%20Funds.ipynb,Factor analysis for mutual funds.,Factor and Risk Analysis,2020-12-21 14:26:46,3.0,4.0,1.0,2018-03-13 07:39:20,2018-03-13 07:42:36,garvit-kudesia91/factor_analysis,inactive,,
VaR GaN,https://github.com/hamaadshah/market_risk_gan_keras,Estimate Value-at-Risk for market risk management using Keras and TensorFlow.,Factor and Risk Analysis,2021-03-20 21:53:18,41.0,28.0,1.0,2018-08-06 16:09:44,2020-11-22 19:02:07,hamaadshah/market_risk_gan_tensorflow,active,,
Pyfolio,https://github.com/quantopian/pyfolio,Portfolio and risk analytics in Python.,Factor and Risk Analysis,2021-04-12 11:55:41,3673.0,1157.0,42.0,2015-06-01 15:31:39,2020-02-28 17:30:19,quantopian/pyfolio,active,,
Performance Analysis,https://github.com/quantopian/alphalens,Performance analysis of predictive (alpha) stock factors.,Factor and Risk Analysis,2021-04-10 12:58:45,1847.0,700.0,17.0,2016-06-03 21:49:15,2020-04-27 18:40:41,quantopian/alphalens,active,,
Python for Finance,https://github.com/yhilpisch/py4fi/tree/master/jupyter36,Various financial notebooks.,Factor and Risk Analysis,2021-04-09 08:12:10,1298.0,794.0,1.0,2014-12-15 11:23:34,2018-07-10 06:38:12,yhilpisch/py4fi,inactive,,
Convex Optimisation,https://github.com/ssanderson/convex-optimization-for-finance/blob/master/notebooks/Main.ipynb,Convex Optimization for Finance.,Factor and Risk Analysis,2021-04-08 19:02:22,18.0,10.0,1.0,2018-06-26 20:36:47,2019-10-22 21:56:46,ssanderson/convex-optimization-for-finance,active,,
Statistical Finance,https://github.com/mrefermat/FinancePhD/tree/master/FinancialExperiments,Various financial experiments.,Factor and Risk Analysis,2021-03-30 00:09:28,21.0,16.0,1.0,2015-10-04 09:10:54,2020-03-28 18:33:58,mrefermat/FinancePhD,active,,
VaR,https://github.com/willb/var-notebook/blob/master/var-notebook/var-pdfs.ipynb,Value-at-risk calculations.,Factor and Risk Analysis,2021-03-31 02:06:48,10.0,9.0,1.0,2016-11-15 19:24:17,2017-01-14 21:19:30,willb/var-notebook,inactive,,
Risk and Return,https://github.com/PyDataBlog/Python-for-Data-Science/tree/master/Tutorials,Riskiness of portfolios and assets.,Factor and Risk Analysis,2021-04-06 17:03:06,140.0,62.0,2.0,2017-09-12 13:35:09,2020-08-06 12:35:44,PyDataBlog/Python-for-Data-Science,active,,
Risk Basic,https://github.com/RJT1990/Active-Portfolio-Management-Notes/blob/master/Chapter%203%2C%20Risk.ipynb,Active portfolio risk management .,Factor and Risk Analysis,2021-03-01 13:53:42,31.0,18.0,1.0,2016-05-10 11:03:48,2016-05-17 03:44:56,RJT1990/Active-Portfolio-Management-Notes,inactive,,
Factor Analysis,https://github.com/alpha-miner/alpha-mind/tree/master/notebooks,Factor strategy notebooks.,Factor and Risk Analysis,2021-04-08 19:02:25,172.0,60.0,3.0,2017-05-01 07:36:54,2021-04-07 15:25:27,alpha-miner/alpha-mind,active,,
Various Risk Measures,https://github.com/Jorgencr/Alternative-and-Responsible-Investments/blob/master/Final_masterfile.ipynb,Risk measures and factors for alternative and responsible investments.,Factor and Risk Analysis,2020-11-04 07:04:38,4.0,5.0,1.0,2017-08-07 14:44:32,2017-08-08 22:52:11,Jorgencr/Alternative-and-Responsible-Investments,inactive,,
CAPM,https://github.com/RJT1990/Active-Portfolio-Management-Notes/blob/master/Chapter%202%2C%20CAPM.ipynb,Expected returns using CAPM.,Factor and Risk Analysis,2021-03-01 13:53:42,31.0,18.0,1.0,2016-05-10 11:03:48,2016-05-17 03:44:56,RJT1990/Active-Portfolio-Management-Notes,inactive,,
Quant Finance,https://github.com/mrefermat/quant_finance,General quant repository.,Factor and Risk Analysis,2021-03-30 00:09:34,31.0,15.0,1.0,2018-08-11 22:59:53,2019-11-12 04:49:01,mrefermat/quant_finance,active,,
Vasicek,https://github.com/RobinsonGarcia/fixed-income/blob/master/2.0%20Vasicek%20-%20example.ipynb,Bootstrapping and interpolation.,Fixed Income,2020-12-10 21:20:03,3.0,3.0,1.0,2018-07-18 19:26:54,2018-07-18 19:34:48,RobinsonGarcia/fixed-income,inactive,,
Corporate Bonds,https://github.com/ishank011/gs-quantify-bond-prediction,Predicting the buying and selling volume of the corporate bonds.,Fixed Income,2021-01-03 21:46:55,7.0,5.0,1.0,2017-09-27 19:57:13,2017-09-27 20:00:29,ishank011/gs-quantify-bond-prediction,inactive,,
Binomial Tree,https://github.com/hy-lei/math-finance-exercise,Utility functions in fixed income securities.,Fixed Income,2020-10-06 20:55:18,1.0,2.0,1.0,2019-02-02 08:44:14,2019-05-03 17:16:52,hy-lei/math-finance-toolbox,active,,
Machine-Learning-for-Finance,https://github.com/PacktPublishing/Machine-Learning-for-Finance,NEW,Other Models,2021-04-08 16:54:52,180.0,122.0,4.0,2018-03-15 06:28:00,2021-01-14 15:58:03,PacktPublishing/Machine-Learning-for-Finance,active,,2021-04-12 16:39:24.593899
ML_Finance_Codes,https://github.com/mfrdixon/ML_Finance_Codes,NEW,Other Models,2021-04-11 08:30:21,250.0,104.0,3.0,2019-09-27 16:13:50,2020-06-13 21:20:26,mfrdixon/ML_Finance_Codes,active,,2021-04-12 16:39:24.593899
Awesome-Quant-Machine-Learning-Trading,https://github.com/grananqvist/Awesome-Quant-Machine-Learning-Trading,NEW,Other Models,2021-04-10 13:38:56,1005.0,319.0,3.0,2018-11-05 21:09:06,2020-10-08 16:48:18,grananqvist/Awesome-Quant-Machine-Learning-Trading,active,,2021-04-12 16:39:24.593899
Machine-Learning-For-Finance,https://github.com/anthonyng2/Machine-Learning-For-Finance,NEW,Other Models,2021-04-01 20:11:59,205.0,119.0,1.0,2017-07-11 09:09:15,2018-02-21 05:36:35,anthonyng2/Machine-Learning-For-Finance,inactive,,2021-04-12 16:39:24.593899
Stock.Indicators,https://github.com/DaveSkender/Stock.Indicators,NEW,Other Models,2021-04-12 10:47:32,175.0,64.0,9.0,2019-12-29 05:18:07,2021-04-11 19:17:17,DaveSkender/Stock.Indicators,active,,2021-04-12 16:39:24.593899
AlphaPy,https://github.com/ScottfreeLLC/AlphaPy,NEW,Other Models,2021-04-04 20:02:31,576.0,130.0,3.0,2016-02-14 00:47:32,2021-02-08 21:35:40,ScottfreeLLC/AlphaPy,active,,2021-04-12 16:39:24.593899
mlfinlab,https://github.com/hudson-and-thames/mlfinlab,NEW,Other Models,2021-04-12 10:51:12,2295.0,709.0,3.0,2019-02-13 16:57:25,2021-04-12 10:50:54,hudson-and-thames/mlfinlab,active,,2021-04-12 16:39:24.593899
Microservices-Based-Algorithmic-Trading-System,https://github.com/saeed349/Microservices-Based-Algorithmic-Trading-System,NEW,Other Models,2021-04-10 12:59:57,104.0,56.0,0.0,2020-01-06 00:21:58,2020-03-31 13:02:26,saeed349/Microservices-Based-Algorithmic-Trading-System,active,,2021-04-12 16:39:24.593899
botflow,https://github.com/kkyon/botflow,NEW,Other Models,2021-03-31 10:56:44,1165.0,102.0,8.0,2018-08-20 03:13:31,2019-05-23 14:40:50,kkyon/botflow,active,,2021-04-12 16:39:24.593899
surpriver,https://github.com/tradytics/surpriver,NEW,Other Models,2021-04-12 12:27:29,1189.0,221.0,6.0,2020-08-30 07:56:22,2020-09-21 04:32:05,tradytics/surpriver,active,,2021-04-12 16:39:24.593899
finance_ml,https://github.com/jjakimoto/finance_ml,NEW,Other Models,2021-04-08 15:28:17,282.0,117.0,1.0,2018-06-29 21:21:17,2019-02-18 12:34:54,jjakimoto/finance_ml,inactive,,2021-04-12 16:39:24.593899
awesome-ai-in-finance,https://github.com/georgezouq/awesome-ai-in-finance,NEW,Other Models,2021-04-11 07:43:25,941.0,162.0,8.0,2018-08-29 02:07:02,2020-11-27 09:43:40,georgezouq/awesome-ai-in-finance,active,,2021-04-12 16:39:24.593899
Pattern-Recognition-for-Forex-Trading,https://github.com/PythonProgramming/Pattern-Recognition-for-Forex-Trading,NEW,Other Models,2021-04-05 03:23:46,173.0,91.0,1.0,2015-03-26 02:22:03,2015-03-26 02:33:51,PythonProgramming/Pattern-Recognition-for-Forex-Trading,inactive,,2021-04-12 16:39:24.593899
mosquito,https://github.com/miro-ka/mosquito,NEW,Other Models,2021-04-12 09:44:40,220.0,44.0,2.0,2017-06-18 19:57:17,2021-03-14 22:22:00,miro-ka/mosquito,active,,2021-04-12 16:39:24.593899
Machine-Learning-for-Algorithmic-Trading-Bots-with-Python,https://github.com/PacktPublishing/Machine-Learning-for-Algorithmic-Trading-Bots-with-Python,NEW,Other Models,2021-04-11 06:02:53,172.0,94.0,5.0,2018-12-06 11:35:08,2021-01-18 06:40:53,PacktPublishing/Machine-Learning-for-Algorithmic-Trading-Bots-with-Python,active,,2021-04-12 16:39:24.593899
stock-trading-ml,https://github.com/yacoubb/stock-trading-ml,NEW,Other Models,2021-04-11 14:46:52,340.0,186.0,1.0,2019-10-10 09:44:02,2019-10-12 11:38:49,yacoubb/stock-trading-ml,active,,2021-04-12 16:39:24.593899
Machine-Learning-and-AI-in-Trading,https://github.com/PyPatel/Machine-Learning-and-AI-in-Trading,NEW,Other Models,2021-04-08 11:31:22,261.0,101.0,1.0,2017-08-30 06:14:59,2019-10-29 08:14:39,PyPatel/Machine-Learning-and-AI-in-Trading,active,,2021-04-12 16:39:24.593899
Machine-Learning-for-Algorithmic-Trading-Second-Edition_Original,https://github.com/PacktPublishing/Machine-Learning-for-Algorithmic-Trading-Second-Edition_Original,NEW,Other Models,2021-04-08 20:01:06,279.0,126.0,4.0,2019-11-15 08:51:40,2021-01-21 07:56:08,PacktPublishing/Machine-Learning-for-Algorithmic-Trading-Second-Edition_Original,active,,2021-04-12 16:39:24.593899
Hands-On-Machine-Learning-for-Algorithmic-Trading,https://github.com/PacktPublishing/Hands-On-Machine-Learning-for-Algorithmic-Trading,NEW,Other Models,2021-04-12 15:41:16,600.0,386.0,2.0,2019-05-07 11:04:25,2021-01-19 07:51:00,PacktPublishing/Hands-On-Machine-Learning-for-Algorithmic-Trading,active,,2021-04-12 16:39:24.593899
CryptoBot,https://github.com/AdeelMufti/CryptoBot,NEW,Other Models,2021-03-25 09:17:42,234.0,94.0,1.0,2017-01-17 12:44:52,2017-01-17 12:48:17,AdeelMufti/CryptoBot,inactive,,2021-04-12 16:39:24.593899
MathAndScienceNotes,https://github.com/melling/MathAndScienceNotes,NEW,Other Models,2021-04-12 00:49:50,460.0,54.0,1.0,2016-03-11 19:13:00,2020-12-21 03:54:51,melling/MathAndScienceNotes,active,,2021-04-12 16:39:24.593899
fin-ml,https://github.com/tatsath/fin-ml,NEW,Other Models,2021-04-11 03:29:15,116.0,66.0,2.0,2020-05-10 00:25:56,2021-01-23 17:15:07,tatsath/fin-ml,active,,2021-04-12 16:39:24.593899
Trend Following,http://inseaddataanalytics.github.io/INSEADAnalytics/ExerciseSet2.html,A futures trend following portfolio investment strategy.,Other Models,,,,,,,,,,
Mixture  Models I,https://github.com/BlackArbsCEO/Mixture_Models,Mixture models to predict market bottoms.,Other Models,2021-03-02 19:44:01,31.0,31.0,1.0,2017-03-20 18:54:24,2017-04-25 23:35:20,BlackArbsCEO/Mixture_Models,inactive,,
Mixture Models II,https://github.com/BlackArbsCEO/mixture_model_trading_public,Mixture models and stock trading.,Other Models,2021-03-12 13:21:17,166.0,73.0,1.0,2017-12-11 17:05:38,2020-05-13 23:50:47,BlackArbsCEO/mixture_model_trading_public,active,,
Fundamental LT Forecasts,https://github.com/Hvass-Labs/FinanceOps,Research in investment finance for long term forecasts.,Other Models,2021-04-05 23:36:04,383.0,127.0,1.0,2018-07-22 08:14:46,2021-02-17 14:39:30,Hvass-Labs/FinanceOps,active,,
Scikit-learn Stock Prediction,https://github.com/robertmartin8/MachineLearningStocks,Using python and scikit-learn to make stock predictions.,Other Models,2021-04-11 10:00:39,931.0,347.0,2.0,2017-02-12 04:50:44,2021-02-04 03:48:33,robertmartin8/MachineLearningStocks,active,,
Short-Term Movement Cues,https://github.com/anfederico/Clairvoyant,Identify  social/historical cues for short term stock movement.,Other Models,2021-04-12 13:11:07,2166.0,678.0,1.0,2016-09-12 18:38:17,2018-08-29 20:27:19,anfederico/clairvoyant,inactive,,
Speculator,https://github.com/amicks/Speculator,NEW,Other Models,2021-03-15 16:27:16,101.0,31.0,2.0,2017-09-03 17:43:03,2018-09-12 18:58:38,amicks/Speculator,inactive,,2021-04-12 16:39:24.593899
Machine Learning in Asset Management,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3420952,,Personal Papers,,,,,,,,,,
Financial Event Prediction using Machine Learning,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3481555,,Personal Papers,,,,,,,,,,
Machine Learning in Asset Management—Part 2: Portfolio Construction—Weight Optimization,https://jfds.pm-research.com/content/2/2/17,,Personal Papers,,,,,,,,,,
Machine Learning in Asset Management—Part 1: Portfolio Construction—Trading Strategies,https://jfds.pm-research.com/content/2/1/10,,Personal Papers,,,,,,,,,,
401K Portfolio Optimisation,https://github.com/otosman/Python-for-Finance/blob/master/Portfolio%20Optimization%20401k.ipynb,Portfolio analyses and optimisation for 401K.,Portfolio Selection and Optimisation,2020-12-25 09:39:33,14.0,5.0,1.0,2018-08-01 19:48:24,2019-09-05 11:18:56,otosman/Python-for-Finance,active,,
Modern Portfolio Theory,https://nbviewer.jupyter.org/github/Marigold/universal-portfolios/blob/master/modern-portfolio-theory.ipynb,Universal portfolios; modern portfolio theory.,Portfolio Selection and Optimisation,,,,,,,,,,
Deep Portfolio Theory,https://github.com/tcloaa/Deep-Portfolio-Theory,Autoencoder framework for portfolio selection.,Portfolio Selection and Optimisation,2021-04-06 11:47:13,105.0,57.0,1.0,2017-02-10 09:03:08,2018-03-08 16:47:00,tcloaa/Deep-Portfolio-Theory,inactive,,
Efficient Frontier,https://github.com/tthustla/efficient_frontier/blob/master/Efficient%20_Frontier_implementation.ipynb,Modern Portfolio Theory.,Portfolio Selection and Optimisation,2021-03-30 00:01:39,104.0,57.0,1.0,2018-02-17 08:19:46,2018-02-27 13:16:57,tthustla/efficient_frontier,inactive,,
Policy Gradient Portfolio,https://github.com/ZhengyaoJiang/PGPortfolio,A Deep Reinforcement Learning Framework for the Financial Portfolio Management Problem.,Portfolio Selection and Optimisation,2021-04-09 10:41:40,1281.0,629.0,6.0,2017-11-12 16:08:44,2019-05-09 09:50:18,ZhengyaoJiang/PGPortfolio,active,,
Distribution Characteristic Optimisation,https://github.com/VivekPa/OptimalPortfolio,Extends classical portfolio optimisation to take the skewness and kurtosis of the distribution of market invariants into account.,Portfolio Selection and Optimisation,2021-04-12 13:10:31,232.0,82.0,3.0,2018-11-16 12:20:25,2019-07-04 01:41:46,VivekPa/OptimalPortfolio,active,,
DeepDow,https://github.com/jankrepl/deepdow,Portfolio optimization with deep learning.,Portfolio Selection and Optimisation,2021-04-07 06:57:39,311.0,58.0,2.0,2020-02-02 08:46:33,2021-02-16 18:50:53,jankrepl/deepdow,active,,
PyPortfolioOpt,https://github.com/robertmartin8/PyPortfolioOpt,"Financial portfolio optimisation, including classical efficient frontier and advanced methods.",Portfolio Selection and Optimisation,2021-04-12 11:54:54,1895.0,479.0,16.0,2018-05-29 13:30:30,2021-02-25 13:01:56,robertmartin8/PyPortfolioOpt,active,,
Online Portfolio Selection,https://nbviewer.jupyter.org/github/paulperry/quant/blob/master/OLPS_Comparison.ipynb,****Comparing OLPS algorithms on a diversified set of ETFs.,Portfolio Selection and Optimisation,,,,,,,,,,
Reinforcement Learning,https://github.com/filangel/qtrader,Reinforcement Learning for Portfolio Management.,Portfolio Selection and Optimisation,2021-03-29 03:47:07,364.0,150.0,1.0,2017-10-07 09:14:33,2018-06-26 09:22:27,filangelos/qtrader,inactive,,
OLMAR Algorithm,https://github.com/charlessutton/OLMAR/blob/master/Part3.ipynb,Relative importance of each component of the OLMAR algorithm.,Portfolio Selection and Optimisation,2021-04-08 19:07:41,7.0,4.0,1.0,2016-07-26 16:20:10,2016-12-30 11:40:53,charlessutton/OLMAR,inactive,,
NLP Event,https://github.com/yuriak/DLQuant,Applying Deep Learning and NLP in Quantitative Trading.,Textual,2021-04-01 02:16:38,70.0,31.0,1.0,2018-07-02 23:50:52,2019-01-31 14:08:20,yuriak/DLQuant,inactive,,
Fund classification,https://github.com/frechfrechfrech/Mutual-Fund-Market-Clusters/blob/master/Initial%20Data%20Exploration.ipynb,Fund classification using text mining and NLP.,Textual,2021-03-31 02:12:50,4.0,2.0,1.0,2018-04-16 22:18:55,2018-06-07 22:01:32,frechfrechfrech/Mutual-Fund-Market-Clusters,inactive,,
Financial Sentiment Analysis,https://github.com/EricHe98/Financial-Statements-Text-Analysis,"Sentiment, distance and proportion analysis for trading signals.",Textual,2021-03-31 23:48:48,48.0,27.0,1.0,2017-06-23 00:05:49,2019-01-26 03:35:55,EricHe98/Financial-Statements-Text-Analysis,inactive,,
Financial Statement Sentiment,https://github.com/MAydogdu/TextualAnalysis,Extracting sentiment from financial statements using neural networks.,Textual,2021-03-31 02:10:58,8.0,7.0,1.0,2018-06-04 20:54:14,2018-06-04 20:56:02,MAydogdu/TextualAnalysis,inactive,,
Extensive NLP,https://github.com/TiesdeKok/Python_NLP_Tutorial/blob/master/NLP_Notebook.ipynb,Comprehensive NLP techniques for accounting research.,Textual,2021-03-21 07:39:02,73.0,42.0,1.0,2017-10-25 07:10:26,2020-06-05 03:28:46,TiesdeKok/Python_NLP_Tutorial,active,,
Accounting Anomalies,https://github.com/GitiHubi/deepAI/blob/master/GTC_2018_Lab-solutions.ipynb,Using deep-learning frameworks to identify accounting anomalies.,Textual,2021-04-12 07:47:50,110.0,51.0,2.0,2017-05-24 12:36:38,2019-08-07 21:47:08,GitiHubi/deepAI,active,,
Buzzwords,https://github.com/swap9047/Cutting-Edge-Technologies-Effect-on-S-P500-Companies-Performance-and-Mutual-Funds,Return performance and mutual fund selection.,Textual,2020-10-06 18:54:58,1.0,4.0,1.0,2018-02-04 21:51:16,2018-02-04 21:57:09,swap9047/Cutting-Edge-Technologies-Effect-on-S-P500-Companies-Performance-and-Mutual-Funds,inactive,,
Earning call transcripts,https://github.com/lin882/WebAnalyticsProject,Correlation between mutual fund investment decision and earning call transcripts.,Textual,2020-12-17 08:24:20,3.0,3.0,1.0,2017-12-30 08:56:03,2018-01-11 02:11:11,lin882/WebAnalyticsProject,inactive,,
NLP,https://github.com/toamitesh/NLPinFinance,This project assembles a lot of NLP operations needed for finance domain.,Textual,,,,,,,toamitesh/NLPinFinance,,,
Industry Clustering,https://github.com/SeanMcOwen/FinanceAndPython.com-ClusteringIndustries,Project to cluster industries according to financial attributes.,Unsupervised,2020-10-06 18:51:22,4.0,5.0,1.0,2017-07-21 02:12:51,2017-07-23 02:53:37,SeanMcOwen/FinanceAndPython.com-ClusteringIndustries,inactive,,
Pairs Trading,https://github.com/marketneutral/pairs-trading-with-ML/blob/master/Pairs%2BTrading%2Bwith%2BMachine%2BLearning.ipynb,Finding pairs with cluster analysis.,Unsupervised,2021-04-04 17:55:35,79.0,36.0,0.0,2017-09-05 19:19:19,2017-09-27 20:42:14,marketneutral/pairs-trading-with-ML,inactive,,
VRA Stock Embedding,https://github.com/ml-hongkong/stock2vec,Variational Reccurrent Autoencoder for Embedding stocks to vectors based on the price history.,Unsupervised,2020-10-20 11:05:55,32.0,12.0,1.0,2017-06-21 04:47:14,2017-06-21 04:51:13,ml-hongkong/stock2vec,inactive,,
PCA Pairs Trading,https://github.com/joelQF/quant-finance/tree/master/Artificial_IntelIigence_for_Trading,"PCA, Factor Returns, and trading strategies.",Unsupervised,,,,,,,joelQF/quant-finance,,,
Industry Clustering,https://github.com/SeanMcOwen/FinanceAndPython.com-ClusteringIndustries,Clustering of industries.,Unsupervised,2020-10-06 18:51:22,4.0,5.0,1.0,2017-07-21 02:12:51,2017-07-23 02:53:37,SeanMcOwen/FinanceAndPython.com-ClusteringIndustries,inactive,,
